Nombre,Contrato,Equipo,Fecha fichaje
Gabby Williams,76535,Fenerbahce (F),30/06/2024
Joyner Holmes,76535,Seattle Storm,08/06/2023
Kaela Davis,76535,Chicago Sky,07/09/2024
Kennedy Burke,76535,New York Liberty,19/02/2024
Monique Billings,76535,Phoenix Mercury,17/08/2024
Odyssey Sims,76535,Los Angeles Sparks,23/07/2024
Sydney Colson,76535,Las Vegas Aces,01/03/2022
Temi Fagbenle,76535,,
Victoria Vivians,76535,Seattle Storm,24/03/2024
Crystal Dangerfield,76529,Los Angeles Sparks,04/07/2024
Celeste Taylor,67249,Phoenix Mercury,22/08/2024
Amy Atwell,64154,Phoenix Mercury,12/02/2024
Caitlin Bickle,64154,Connecticut Sun,16/08/2024
Cecilia Zandalasini,64154,,
Charisma Osborne,64154,Phoenix Mercury,14/04/2024
Emily Engstler,64154,Washington Mystics,31/01/2024
Ezinne Kalu,64154,Atlanta Dream,16/09/2024
Ivana Dojkic,64154,New York Liberty,31/01/2024
Jaelyn Brown,64154,,
Jaylyn Sherrod,64154,,
Julie Vanloo,64154,,
Lorela Cubaj,64154,Venezia (F),30/06/2024
Maya Caldwell,64154,Atlanta Dream,27/06/2024
Mikiah Herbert Harrigan,64154,Perfumerias Avenida (F),31/12/2023
Natasha Mack,64154,Phoenix Mercury,08/02/2024
Olivia Epoupa,64154,,
Queen Egbo,64154,Las Vegas Aces,01/09/2024
Sevgi Uzun,64154,Fenerbahce (F),14/10/2024
Sug Sutton,64154,Washington Mystics,19/08/2024
Veronica Burton,50180,Connecticut Sun,04/06/2024
