Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,RANK 2024,PLAYER 2024,TEAM 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,PLAYER 2023,TEAM 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,PLAYER 2022,TEAM 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,PLAYER 2021,TEAM 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,PLAYER 2020,TEAM 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020
JACKIE YOUNG,504900.0,LV,504900.0,LV,504900.0,LV,236283.0,LV,236283.0,LV,18,JACKIE YOUNG,LVA,27,37,25,12,32.6,15.8,5.4,12.6,43.0,1.9,5.6,33.7,3.0,3.5,86.7,0.7,3.6,4.4,5.3,2.1,1.0,0.2,2.5,29.8,5,0,4.1,11,JACKIE YOUNG,LVA,26,40,34,6,31.5,17.6,6.2,11.9,52.3,2.2,5.0,44.9,2.9,3.4,86.7,0.7,3.4,4.0,3.8,1.8,1.3,0.1,2.0,30.5,1,0,12.8,14,JACKIE YOUNG,LVA,25,34,24,10,33.2,15.9,5.6,11.8,47.6,1.5,3.4,43.1,3.2,3.8,85.9,1.3,3.1,4.4,3.9,1.3,1.4,0.2,2.4,28.9,0,0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLISHA GRAY,494400.0,ATL,494400.0,ATL,494400.0,DAL,494400.0,DAL,,,19,ALLISHA GRAY,ATL,29,40,15,25,33.2,15.6,5.1,12.7,40.3,1.7,5.1,34.2,3.6,4.7,76.9,1.1,3.3,4.4,2.7,1.7,1.1,0.7,2.4,27.9,1,0,-0.5,15,ALLISHA GRAY,ATL,29,38,19,19,32.7,17.1,5.8,12.4,46.5,1.1,3.1,35.6,4.4,5.4,82.4,1.2,3.7,4.9,3.1,1.9,1.1,0.4,2.6,29.1,2,0,-1.1,28,ALLISHA GRAY,DAL,28,33,18,15,32.9,13.3,4.4,10.5,42.3,1.9,4.8,40.8,2.5,3.2,79.8,0.9,3.9,4.8,2.5,1.3,1.1,0.7,2.4,26.3,1,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWELL LOYD,491016.0,SEA,463030.0,SEA,463030.0,SEA,358500.0,SEA,358500.0,SEA,6,JEWELL LOYD,SEA,31,37,23,14,33.7,19.7,6.1,16.8,36.0,1.6,5.8,27.4,6.0,6.8,88.1,0.7,3.8,4.5,3.6,2.3,1.4,0.2,1.8,32.7,2,0,5.4,1,JEWELL LOYD,SEA,30,38,11,27,35.4,24.7,7.5,20.3,37.0,3.0,8.5,35.6,6.7,7.5,88.8,1.1,3.6,4.7,3.4,2.8,1.0,0.4,1.7,38.7,1,0,-3.8,11,JEWELL LOYD,SEA,29,36,22,14,30.3,16.3,5.6,14.1,39.6,2.3,6.1,38.5,2.8,3.1,89.3,0.6,2.1,2.6,3.4,2.2,1.1,0.2,1.8,27.2,0,0,5.3,7,JEWELL LOYD,SEA,28,31,20,11,31.0,17.9,6.2,14.8,42.0,2.1,5.6,37.6,3.4,3.8,88.9,0.8,3.3,4.0,3.8,2.3,1.5,0.2,2.1,31.1,0,0,5.1,17,JEWELL LOYD,SEA,27,22,18,4,27.8,15.5,5.1,11.5,44.3,1.8,4.5,39.0,3.5,4.0,87.5,0.6,1.7,2.4,3.2,1.9,1.5,0.3,1.5,26.2,0,0,8.3
KAHLEAH COPPER,490118.0,PHX,405000.0,CHI,405000.0,CHI,330000.0,CHI,330000.0,CHI,3,KAHLEAH COPPER,PHO,30,37,17,20,32.3,21.1,7.4,17.0,43.5,1.9,5.9,31.4,4.5,5.6,80.7,0.6,3.9,4.5,2.3,3.0,0.8,0.1,3.3,31.5,1,0,-3.1,7,KAHLEAH COPPER,CHI,29,38,17,21,31.2,18.7,6.9,15.4,44.8,1.8,4.5,40.4,3.1,4.0,77.0,0.7,3.7,4.4,2.0,2.5,0.9,0.3,2.4,29.3,1,0,-1.7,15,KAHLEAH COPPER,CHI,28,31,23,8,28.8,15.7,5.7,11.8,48.1,1.2,3.3,35.6,3.2,4.2,77.5,1.0,4.6,5.7,2.3,2.0,0.5,0.0,2.4,25.8,4,0,5.5,22,KAHLEAH COPPER,CHI,27,32,16,16,30.8,14.4,5.4,11.8,45.9,0.8,2.7,30.6,2.8,3.4,81.8,1.2,3.0,4.2,1.8,1.9,0.9,0.3,3.0,23.4,0,0,0.0,19,KAHLEAH COPPER,CHI,26,22,12,10,31.3,14.8,6.0,12.1,49.6,1.0,2.8,34.4,1.9,2.5,73.2,1.0,4.5,5.5,2.1,2.5,1.0,0.2,2.4,25.7,0,0,3.1
MERCEDES RUSSELL,480000.0,SEA,480000.0,SEA,480000.0,SEA,141618.0,SEA,141618.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIANA TAURASI,469872.0,PHX,469872.0,PHX,449544.0,PHX,449544.0,PHX,466000.0,PHX,23,DIANA TAURASI,PHO,42,36,17,19,29.0,14.9,4.8,11.9,40.0,2.4,7.2,33.3,3.0,3.5,85.7,0.4,3.4,3.8,3.4,1.9,0.6,0.3,2.6,26.3,0,0,-0.8,19,DIANA TAURASI,PHO,42,26,8,18,27.3,16.0,4.9,12.2,40.3,2.5,7.2,34.2,3.7,4.3,84.8,0.1,3.5,3.6,4.6,3.0,0.5,0.5,2.6,28.5,1,0,-2.5,10,DIANA TAURASI,PHO,41,31,13,18,31.0,16.7,4.8,13.0,37.3,3.0,8.8,33.7,4.1,4.6,89.4,0.3,3.2,3.4,3.9,2.7,0.7,0.6,2.9,29.6,0,0,-4.0,16,DIANA TAURASI,PHO,40,16,12,4,28.4,15.2,4.4,12.0,36.5,2.6,7.6,33.9,3.9,4.5,86.1,0.2,4.3,4.4,4.9,2.9,0.2,0.6,2.4,28.6,1,0,4.0,5,DIANA TAURASI,PHO,39,19,11,8,28.1,18.7,5.1,12.4,40.9,3.2,8.8,36.5,5.4,5.9,91.2,0.1,4.1,4.2,4.5,2.3,1.0,0.4,2.7,33.5,2,0,0.7
ERICA WHEELER,444308.0,IND,444308.0,IND,365400.0,ATL,365400.0,LA,161600.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,ERICA WHEELER,LAS,31,32,12,20,30.2,13.6,5.0,12.0,41.7,1.0,2.9,35.5,2.5,3.1,82.7,0.5,2.6,3.1,4.8,2.7,1.3,0.3,2.7,25.6,2,0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIAH JEFFERSON,424500.0,CHI,424500.0,PHX,67141.0,MIN,525200.0,DAL,525200.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKYLAR DIGGINS-SMITH,422685.0,SEA,899480.0,PHX,899480.0,PHX,899480.0,PHX,899480.0,PHX,20,SKYLAR DIGGINS-SMITH,SEA,34,40,25,15,31.6,15.1,5.5,12.8,42.7,1.0,3.4,29.1,3.3,3.8,86.7,0.7,1.9,2.6,6.4,2.8,1.7,0.9,2.8,30.4,2,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SKYLAR DIGGINS-SMITH,PHO,32,30,13,17,34.0,19.7,6.9,16.2,42.9,1.3,4.5,29.6,4.5,5.3,84.4,0.9,3.1,4.0,5.5,2.7,1.5,1.0,2.7,35.7,3,0,-1.0,9,SKYLAR DIGGINS-SMITH,PHO,31,32,19,13,32.5,17.7,5.5,12.3,45.2,1.6,4.2,37.0,5.1,6.2,81.8,0.5,2.6,3.2,5.3,2.6,1.1,0.8,2.2,31.3,3,0,5.0,8,SKYLAR DIGGINS-SMITH,PHO,30,22,13,9,30.7,17.7,5.8,12.2,47.4,2.1,5.3,39.7,4.1,4.5,90.0,0.5,2.8,3.3,4.2,3.2,0.9,0.5,2.3,30.2,0,0,-1.9
KAYLA MCBRIDE,413000.0,MIN,588801.0,MIN,588801.0,MIN,588801.0,MIN,232000.0,LV,21,KAYLA MCBRIDE,MIN,32,39,30,9,31.7,15.0,4.5,10.6,42.0,2.7,6.6,40.7,3.4,3.8,89.3,0.4,2.2,2.6,3.2,2.0,1.3,0.1,1.2,26.1,0,0,7.7,28,KAYLA MCBRIDE,MIN,32,38,19,19,31.8,14.3,4.9,11.6,42.4,2.2,6.4,34.2,2.2,2.6,86.7,0.4,2.8,3.2,2.2,1.7,1.2,0.2,1.7,24.7,0,0,-3.7,29,KAYLA MCBRIDE,MIN,31,31,14,17,29.8,13.3,4.4,10.9,40.5,1.5,4.3,35.6,2.9,3.2,90.9,0.5,2.3,2.8,2.1,1.5,1.0,0.1,1.4,21.8,0,0,0.1,25,KAYLA MCBRIDE,MIN,30,32,22,10,31.6,13.7,4.5,10.3,43.3,1.9,5.0,37.9,2.8,3.1,91.0,0.3,3.3,3.6,2.3,1.1,0.8,0.2,1.8,23.4,0,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
