Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,RANK 2024,PLAYER 2024,TEAM 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,PLAYER 2023,TEAM 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,PLAYER 2022,TEAM 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,PLAYER 2021,TEAM 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,PLAYER 2020,TEAM 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020
SABRINA IONESCU,410060.0,NY,410060.0,NY,213597.0,NY,213597.0,NY,213597.0,NY,9,SABRINA IONESCU,NYL,26,38,30,8,32.1,18.2,6.3,15.9,39.4,2.8,8.4,33.3,2.8,3.1,89.8,0.7,3.7,4.4,6.2,2.7,1.0,0.3,1.2,34.3,3,0,7.4,16,SABRINA IONESCU,NYL,26,36,29,7,31.5,17.0,5.4,12.8,42.3,3.6,7.9,44.8,2.6,3.0,87.2,0.8,4.8,5.6,5.4,2.6,1.0,0.3,1.7,34.1,2,1,8.9,8,SABRINA IONESCU,NYL,25,36,16,20,32.3,17.4,5.9,14.3,41.1,2.3,6.9,33.3,3.4,3.6,93.1,1.0,6.1,7.1,6.3,3.0,1.1,0.3,2.1,35.8,7,2,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,SABRINA IONESCU,NYL,23,3,0,3,26.6,18.3,6.3,14.0,45.2,2.3,6.7,35.0,3.3,3.3,100,0.7,4.0,4.7,4.0,4.3,0.7,0.0,1.3,30.7,0,0,-8.7
A'JA WILSON,400000.0,LV,398422.0,LV,398422.0,LV,232178.0,LV,232178.0,LV,1,A'JA WILSON,LVA,28,38,26,12,34.4,26.9,10.1,19.6,51.8,0.5,1.6,31.7,6.1,7.2,84.4,2.1,9.8,11.9,2.3,1.3,1.8,2.6,1.8,50.3,23,0,4.6,3,A'JA WILSON,LVA,27,40,34,6,30.7,22.8,8.4,15.0,55.7,0.2,0.7,31.0,5.8,7.2,81.2,2.1,7.5,9.5,1.6,1.6,1.4,2.2,2.1,41.4,22,0,12.2,5,A'JA WILSON,LVA,26,36,26,10,30.0,19.5,7.2,14.4,50.1,0.9,2.3,37.3,4.2,5.2,81.3,1.8,7.6,9.4,2.1,1.7,1.4,1.9,2.1,38.7,17,0,8.7,6,A'JA WILSON,LVA,25,32,24,8,31.9,18.3,6.5,14.6,44.4,0.0,0.0,100,5.3,6.0,87.6,2.0,7.3,9.3,3.1,1.4,0.9,1.3,1.5,34.9,17,0,5.8,2,A'JA WILSON,LVA,24,22,18,4,31.7,20.5,7.5,15.7,48.0,0.0,0.0,0.0,5.4,6.9,78.1,1.5,7.0,8.5,2.0,1.6,1.2,2.0,2.2,37.5,7,0,8.1
ARIEL ATKINS,400000.0,WAS,345000.0,WAS,345000.0,WAS,345000.0,WAS,214836.0,WAS,24,ARIEL ATKINS,WAS,28,40,14,26,29.9,14.9,5.4,12.4,43.7,2.0,5.5,35.7,2.1,2.5,84.8,0.9,2.5,3.4,3.1,2.3,1.5,0.4,2.8,27.2,0,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,ARIEL ATKINS,WAS,26,36,22,14,30.0,14.6,5.1,12.2,42.0,1.9,5.3,36.5,2.4,2.9,84.5,0.9,2.3,3.3,2.3,1.4,1.3,0.3,2.8,25.3,0,0,4.2,12,ARIEL ATKINS,WAS,25,30,10,20,30.6,16.2,5.4,13.2,40.7,2.2,6.1,35.9,3.3,3.9,83.1,1.1,1.6,2.8,2.6,2.0,1.6,0.5,3.2,28.1,0,0,-1.5,19,ARIEL ATKINS,WAS,24,22,9,13,31.0,14.8,5.0,11.4,43.8,2.0,4.9,41.1,2.8,3.2,88.6,0.8,2.1,2.9,2.4,1.9,1.8,0.3,2.6,26.2,0,0,1.6
KELSEY PLUM,400000.0,LV,400000.0,LV,400000.0,LV,423250.0,LV,423250.0,LV,11,KELSEY PLUM,LVA,30,38,25,13,34.0,17.8,6.1,14.4,42.3,2.9,7.9,36.8,2.7,3.1,86.6,0.3,2.3,2.6,4.2,2.4,0.7,0.0,2.7,28.9,0,0,5.6,8,KELSEY PLUM,LVA,29,39,33,6,32.4,18.7,6.4,13.4,47.5,2.4,6.3,38.9,3.5,3.8,91.2,0.2,2.2,2.4,4.5,2.1,1.1,0.0,2.4,30.3,2,0,14.2,2,KELSEY PLUM,LVA,28,36,26,10,32.8,20.2,6.8,14.8,46.0,3.1,7.5,42.0,3.5,4.1,83.9,0.3,2.4,2.7,5.1,2.6,1.0,0.1,2.5,33.2,2,0,7.8,18,KELSEY PLUM,LVA,27,26,20,6,25.5,14.8,4.9,11.3,43.7,1.7,4.4,38.6,3.3,3.5,94.4,0.4,2.1,2.5,3.6,1.7,1.0,0.0,2.2,24.7,0,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATASHA CLOUD,400000.0,PHX,565000.0,WAS,565000.0,WAS,565000.0,WAS,232000.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELSEA GRAY,392534.0,LV,392534.0,LV,392534.0,LV,386817.0,LV,195000.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,CHELSEA GRAY,LVA,31,40,34,6,32.2,15.3,5.6,11.5,49.0,1.6,3.8,42.1,2.4,2.7,89.7,0.3,3.7,4.0,7.3,2.5,1.4,0.6,1.8,32.2,10,1,10.9,23,CHELSEA GRAY,LVA,30,35,25,10,29.7,13.7,5.2,10.7,49.1,1.0,2.9,34.0,2.3,2.5,91.0,0.3,2.9,3.2,6.1,2.3,1.6,0.3,1.5,27.8,1,0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,CHELSEA GRAY,LAS,28,22,15,7,30.6,14.0,5.5,12.5,44.2,0.8,2.7,30.5,2.1,2.2,93.9,0.7,3.0,3.7,5.3,2.7,1.5,0.1,1.7,27.0,0,0,4.5
KALANI BROWN,386250.0,DAL,74305.0,DAL,,,,,219235.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZURÁ STEVENS,385000.0,LA,385000.0,LA,140000.0,CHI,140000.0,CHI,214836.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONQUEL JONES,385000.0,NY,416150.0,NY,416150.0,CON,375500.0,CON,375500.0,CON,27,JONQUEL JONES,NYL,30,39,32,7,29.9,14.2,5.3,9.8,53.8,1.5,3.9,38.8,2.1,2.7,78.8,1.7,7.3,9.0,3.2,2.4,0.8,1.3,2.9,32.0,11,0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,JONQUEL JONES,CON,29,33,23,10,26.4,14.6,5.3,10.4,51.3,1.2,3.4,36.9,2.7,3.4,80.2,2.6,6.0,8.6,1.8,2.6,1.1,1.2,2.7,30.6,11,0,7.7,4,JONQUEL JONES,CON,28,27,24,3,31.7,19.4,7.1,13.8,51.5,1.6,4.3,36.2,3.6,4.5,80.2,2.5,8.7,11.2,2.8,2.9,1.3,1.3,3.1,40.0,18,0,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURTNEY VANDERSLOOT,383670.0,NY,383670.0,NY,195000.0,CHI,406000.0,CHI,406000.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,COURTNEY VANDERSLOOT,CHI,32,22,12,10,31.5,13.6,4.9,9.9,49.1,1.4,3.5,39.5,2.5,2.9,88.9,0.5,3.0,3.5,10.0,2.5,1.2,0.4,2.1,31.6,9,0,6.3
JORDIN CANADA,375000.0,ATL,74305.0,LA,98000.0,LA,214836.0,SEA,214836.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,JORDIN CANADA,LAS,28,38,17,21,32.6,13.3,4.3,10.6,40.4,1.1,3.2,33.3,3.6,4.2,87.3,0.2,2.8,3.1,6.0,2.7,2.3,0.2,2.3,28.4,1,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETNIJAH LANEY,365400.0,NY,588801.0,NY,588801.0,NY,588801.0,NY,182700.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATIE LOU SAMUELSON,355250.0,IND,237754.0,LA,237754.0,LA,237754.0,SEA,237754.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURTNEY WILLIAMS,355000.0,MIN,160000.0,CHI,103000.0,CON,375500.0,ATL,375500.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,COURTNEY WILLIAMS,ATL,28,32,8,24,34.4,16.5,7.1,17.1,41.8,1.2,3.2,38.2,1.1,1.7,64.2,1.4,5.4,6.8,4.0,1.8,1.1,0.5,1.7,31.8,7,0,-3.4,23,COURTNEY WILLIAMS,ATL,27,20,6,14,30.5,14.6,6.7,15.4,43.6,0.4,1.7,23.5,0.8,1.2,69.6,1.9,5.3,7.2,3.2,2.7,0.7,0.1,2.0,26.8,4,0,-5.4
STEFANIE DOLSON,345000.0,WAS,320000.0,NY,320000.0,NY,355250.0,CHI,355250.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAITLIN CLARK,338056.0,IND,,,,,,,,,7,CAITLIN CLARK,IND,22,40,20,20,35.4,19.2,6.1,14.5,41.7,3.1,8.9,34.4,4.1,4.5,90.6,0.4,5.3,5.7,8.4,5.6,1.3,0.7,2.8,40.4,14,2,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMERON BRINK,338056.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMILLA CARDOSO,338056.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICKEA JACKSON,338056.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPHANIE SOARES,338056.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AALIYAH EDWARDS,324383.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALISSA PILI,324383.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGEL REESE,324383.0,CHI,,,,,,,,,30,ANGEL REESE,CHI,22,34,12,22,32.5,13.6,4.8,12.3,39.1,0.1,0.5,18.8,3.9,5.2,73.6,5.1,8.1,13.1,1.9,2.2,1.3,0.5,3.5,32.2,26,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACY SHELDON,324383.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISABELLE HARRISON,320000.0,CHI,320000.0,CHI,463365.0,DAL,463365.0,DAL,463365.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REBECCA ALLEN,320000.0,PHX,277850.0,CON,277850.0,NY,105037.0,NY,161600.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZI MAGBEGOR,314650.0,SEA,314650.0,SEA,189042.0,SEA,189042.0,SEA,189042.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,EZI MAGBEGOR,SEA,24,40,11,29,32.6,13.8,5.4,10.6,51.3,0.8,2.0,38.5,2.2,3.1,69.9,1.6,6.5,8.1,2.6,2.4,1.1,1.9,3.2,31.1,10,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARQUESHA DAVIS,310718.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOPHIE CUNNINGHAM,304500.0,PHX,304500.0,PHX,75000.0,PHX,189522.0,PHX,189522.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALANNA SMITH,300000.0,MIN,100000.0,CHI,,,219235.0,PHX,219235.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIANNA TURNER,300000.0,CHI,300000.0,PHX,197503.0,PHX,197503.0,PHX,197503.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIA COFFEY,300000.0,ATL,135000.0,ATL,130000.0,ATL,70040.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATE MARTIN,297045.0,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEONIE FIEBICH,297045.0,NY,,,187738.0,CHI,187738.0,CHI,187738.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIKA MÜHL,297045.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMI WHITCOMB,287500.0,SEA,287500.0,SEA,300700.0,NY,300700.0,NY,168000.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIA NURSE,285000.0,LA,285000.0,SEA,73542.0,PHX,191720.0,PHX,191720.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIFFANY MITCHELL,274050.0,CON,274050.0,MIN,432726.0,IND,432726.0,IND,432726.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIZABETH WILLIAMS,270000.0,CHI,270000.0,CHI,90000.0,WAS,464000.0,ATL,464000.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JADE MELBOURNE,268767.0,WAS,268767.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGET CARLETON,250000.0,MIN,91000.0,MIN,72141.0,MIN,58170.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAE BURRELL,250000.0,LA,,,208338.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JESSICA SHEPARD,243600.0,MIN,243600.0,MIN,189522.0,MIN,189522.0,MIN,189522.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATISHA HIEDEMAN,240000.0,MIN,240000.0,CON,72141.0,CON,58710.0,CON,57000.0,CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIYAH BOSTON,233468.0,IND,233468.0,IND,,,,,,,28,ALIYAH BOSTON,IND,22,40,20,20,30.9,14.0,5.9,11.2,52.9,0.2,0.7,26.9,2.0,2.8,73.6,2.8,6.1,8.9,3.2,2.0,0.9,1.2,3.3,30.4,13,0,-0.8,27,ALIYAH BOSTON,IND,22,40,13,27,31.2,14.5,5.8,10.1,57.8,0.1,0.3,40.0,2.7,3.6,74.5,3.1,5.3,8.4,2.2,1.9,1.3,1.3,3.1,30.3,11,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND MILLER,233468.0,MIN,233468.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADDY SIEGRIST,233468.0,DAL,233468.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARLIE SAMUELSON,233450.0,WAS,62675.0,LA,,,17304.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPHANIE TALBOT,227000.0,LA,227000.0,LA,72141.0,SEA,70040.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALYSSA SMITH,226668.0,IND,226668.0,IND,226668.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,NALYSSA SMITH,IND,23,31,11,20,28.5,15.5,6.1,12.7,47.7,0.6,2.2,28.4,2.7,4.0,67.7,2.1,7.1,9.2,1.4,2.7,0.3,0.3,3.0,28.0,13,0,-1.2,25,NALYSSA SMITH,IND,22,32,5,27,30.7,13.5,5.0,11.9,41.9,1.2,3.0,38.1,2.4,3.8,61.8,2.2,5.7,7.9,1.4,2.4,0.5,0.3,2.9,25.4,8,0,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
