,Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,Contrato 2019,Equipo 2019,Contrato 2018,Equipo 2018,Contrato 2017,Equipo 2017,Contrato 2016,Equipo 2016,RANK 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020,RANK 2019,AGE 2019,GP 2019,W 2019,L 2019,MIN 2019,PTS 2019,FGM 2019,FGA 2019,FG% 2019,3PM 2019,3PA 2019,3P% 2019,FTM 2019,FTA 2019,FT% 2019,OREB 2019,DREB 2019,REB 2019,AST 2019,TOV 2019,STL 2019,BLK 2019,PF 2019,FP 2019,DD2 2019,TD3 2019,+/- 2019,RANK 2018,AGE 2018,GP 2018,W 2018,L 2018,MIN 2018,PTS 2018,FGM 2018,FGA 2018,FG% 2018,3PM 2018,3PA 2018,3P% 2018,FTM 2018,FTA 2018,FT% 2018,OREB 2018,DREB 2018,REB 2018,AST 2018,TOV 2018,STL 2018,BLK 2018,PF 2018,FP 2018,DD2 2018,TD3 2018,+/- 2018,RANK 2017,AGE 2017,GP 2017,W 2017,L 2017,MIN 2017,PTS 2017,FGM 2017,FGA 2017,FG% 2017,3PM 2017,3PA 2017,3P% 2017,FTM 2017,FTA 2017,FT% 2017,OREB 2017,DREB 2017,REB 2017,AST 2017,TOV 2017,STL 2017,BLK 2017,PF 2017,FP 2017,DD2 2017,TD3 2017,+/- 2017,RANK 2016,AGE 2016,GP 2016,W 2016,L 2016,MIN 2016,PTS 2016,FGM 2016,FGA 2016,FG% 2016,3PM 2016,3PA 2016,3P% 2016,FTM 2016,FTA 2016,FT% 2016,OREB 2016,DREB 2016,REB 2016,AST 2016,TOV 2016,STL 2016,BLK 2016,PF 2016,FP 2016,DD2 2016,TD3 2016,+/- 2016
60,BRIDGET CARLETON,250000.0,MIN,91000.0,MIN,72141.0,MIN,58170.0,MIN,,,,,,,,,,,50.0,27.0,39.0,29.0,10.0,29.9,9.6,3.2,7.3,44.4,2.3,5.3,44.4,0.8,1.0,78.9,0.9,2.8,3.8,2.2,1.0,1.0,0.3,2.1,20.5,0.0,0.0,6.1,114.0,27.0,38.0,18.0,20.0,15.1,3.2,1.1,3.1,34.5,0.8,2.3,33.7,0.3,0.4,73.3,0.5,1.8,2.3,0.9,0.4,0.3,0.1,1.3,8.1,0.0,0.0,-1.4,109.0,26.0,36.0,14.0,22.0,16.8,4.3,1.5,3.8,40.0,0.8,2.3,34.9,0.5,0.7,73.1,0.3,1.8,2.1,1.1,0.6,0.4,0.1,1.6,9.6,0.0,0.0,1.6,101.0,25.0,32.0,22.0,10.0,19.3,4.8,1.7,4.3,40.1,0.8,2.3,36.5,0.5,0.6,80.0,0.7,1.6,2.3,1.5,0.8,0.8,0.2,1.5,11.3,0.0,0.0,0.4,74.0,24.0,22.0,14.0,8.0,25.8,6.6,2.4,4.6,52.0,1.0,2.1,45.7,0.8,1.3,64.3,1.0,2.5,3.5,2.5,1.2,0.7,0.0,1.8,14.9,0.0,0.0,2.9,152.0,23.0,8.0,6.0,2.0,4.9,0.4,0.1,1.0,12.5,0.1,0.5,25.0,0.0,0.0,0.0,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.3,1.1,0.0,0.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,RAE BURRELL,250000.0,LA,,,208338.0,LA,,,,,,,,,,,,,79.0,24.0,37.0,7.0,30.0,15.7,5.9,1.6,4.4,36.2,0.6,1.9,33.3,2.1,2.7,78.0,0.6,1.3,1.8,1.1,1.0,0.8,0.3,1.6,11.7,0.0,0.0,-2.4,110.0,24.0,29.0,11.0,18.0,11.1,3.6,1.2,3.2,38.7,0.6,1.4,39.0,0.6,0.7,81.0,0.4,0.8,1.2,0.6,0.5,0.4,0.1,0.9,7.1,0.0,0.0,-1.8,148.0,23.0,3.0,2.0,1.0,14.5,1.7,0.3,3.0,11.1,0.3,2.0,16.7,0.7,0.7,100.0,0.3,0.7,1.0,0.3,0.3,0.7,0.0,1.3,4.7,0.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,JESSICA SHEPARD,,MIN,243600.0,MIN,,MIN,,MIN,189522.0,MIN,189522.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,27.0,21.0,9.0,12.0,26.9,8.1,3.1,6.0,51.6,0.0,0.1,0.0,2.0,2.5,77.4,2.1,5.0,7.1,3.2,1.4,0.6,0.1,2.0,19.8,3.0,0.0,-4.6,63.0,26.0,36.0,14.0,22.0,26.1,8.1,3.0,6.0,50.2,0.2,0.6,26.1,1.9,2.6,73.4,2.0,5.4,7.4,3.0,1.7,0.4,0.3,2.1,20.1,6.0,0.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,NATISHA HIEDEMAN,,MIN,240000.0,CON,72141.0,CON,58710.0,CON,57000.0,CON,42570.0,CON,,,,,,,92.0,27.0,40.0,30.0,10.0,15.2,4.9,1.8,4.8,38.0,0.6,2.1,28.0,0.6,0.9,73.5,0.4,1.2,1.6,2.4,1.1,0.8,0.2,1.2,11.3,0.0,0.0,-0.5,54.0,27.0,40.0,27.0,13.0,26.7,8.5,3.1,7.9,39.2,1.5,4.0,36.6,0.9,1.2,73.9,0.2,1.9,2.1,2.7,1.4,0.9,0.1,2.2,16.7,0.0,0.0,2.7,55.0,26.0,36.0,25.0,11.0,25.0,9.1,3.3,7.6,43.1,1.9,4.7,41.1,0.7,0.8,80.0,0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8,18.6,0.0,0.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,24.0,22.0,10.0,12.0,18.6,6.1,2.0,5.8,35.4,1.0,2.9,35.9,1.0,1.4,70.0,0.4,1.5,1.9,1.9,1.1,0.4,0.0,2.0,11.6,0.0,0.0,-3.2,111.0,23.0,20.0,13.0,7.0,10.2,3.7,1.2,2.9,41.4,0.7,1.4,46.4,0.6,1.2,50.0,0.4,1.2,1.5,1.9,0.7,0.4,0.1,1.3,8.7,0.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ALIYAH BOSTON,,IND,233468.0,IND,,,,,,,,,,,,,,,28.0,22.0,40.0,20.0,20.0,30.9,14.0,5.9,11.2,52.9,0.2,0.7,26.9,2.0,2.8,73.6,2.8,6.1,8.9,3.2,2.0,0.9,1.2,3.3,30.4,13.0,0.0,-0.8,27.0,22.0,40.0,13.0,27.0,31.2,14.5,5.8,10.1,57.8,0.1,0.3,40.0,2.7,3.6,74.5,3.1,5.3,8.4,2.2,1.9,1.3,1.3,3.1,30.3,11.0,0.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,DIAMOND MILLER,,MIN,233468.0,MIN,,,,,,,,,,,,,,,121.0,23.0,21.0,14.0,7.0,10.1,2.9,1.0,3.3,30.4,0.2,1.2,19.2,0.7,1.1,58.3,0.4,1.3,1.8,0.6,0.9,0.3,0.0,1.1,6.3,0.0,0.0,-2.7,34.0,23.0,32.0,15.0,17.0,26.1,12.1,4.4,10.8,40.3,1.0,3.2,30.7,2.4,3.0,79.2,0.7,2.8,3.5,2.5,2.3,0.9,0.3,2.5,21.7,0.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,MADDY SIEGRIST,,DAL,233468.0,DAL,,,,,,,,,,,,,,,53.0,24.0,27.0,6.0,21.0,23.8,9.4,3.9,7.8,50.5,0.4,1.4,27.0,1.2,1.6,76.7,1.6,1.7,3.3,1.0,0.6,0.4,0.4,1.2,15.6,0.0,0.0,-4.6,106.0,24.0,39.0,22.0,17.0,8.2,3.7,1.5,2.9,50.9,0.1,0.4,33.3,0.7,0.7,93.1,0.9,0.6,1.6,0.2,0.2,0.2,0.2,0.7,6.4,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,KARLIE SAMUELSON,233450.0,WAS,62675.0,LA,,,17304.0,SEA,,,,,,,,,,,58.0,29.0,29.0,10.0,19.0,24.5,8.4,2.7,6.7,40.9,1.7,4.2,39.8,1.2,1.3,92.3,0.5,2.0,2.6,2.1,0.9,0.9,0.0,1.7,16.7,0.0,0.0,-0.1,65.0,29.0,34.0,15.0,19.0,26.1,7.7,2.4,5.2,46.3,1.4,3.4,42.6,1.4,1.5,94.1,0.3,2.6,3.0,2.0,0.9,0.6,0.1,2.4,15.6,0.0,0.0,1.1,126.0,28.0,1.0,0.0,1.0,10.2,3.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,-3.0,113.0,27.0,14.0,4.0,10.0,14.7,3.6,1.1,3.1,36.4,0.9,2.2,38.7,0.5,0.6,77.8,0.2,1.6,1.9,0.8,0.6,0.5,0.0,1.5,8.1,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,25.0,7.0,2.0,5.0,12.0,1.3,0.4,2.0,21.4,0.4,1.7,25.0,0.0,0.0,0.0,0.1,0.4,0.6,0.7,0.0,0.4,0.1,1.1,4.1,0.0,0.0,0.1,148.0,24.0,20.0,9.0,11.0,4.2,1.0,0.4,0.9,38.9,0.3,0.8,31.3,0.0,0.0,0.0,0.1,0.4,0.5,0.3,0.2,0.1,0.3,0.7,2.7,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,STEPHANIE TALBOT,,LA,227000.0,LA,72141.0,SEA,70040.0,SEA,,,173305.0,MIN,173305.0,PHX,173305.0,PHX,173305.0,PHX,109.0,30.0,37.0,8.0,29.0,16.2,3.5,1.3,3.4,39.5,0.4,1.4,26.0,0.5,0.8,69.0,0.6,2.2,2.7,2.1,1.0,0.5,0.5,1.4,10.6,0.0,0.0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,29.0,34.0,20.0,14.0,16.1,5.0,1.9,4.1,46.4,0.9,2.1,39.7,0.4,0.7,58.3,0.7,2.5,3.1,1.3,1.1,0.7,0.3,1.3,12.4,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,26.0,33.0,18.0,15.0,17.0,5.2,1.7,4.7,37.0,0.9,2.9,32.6,0.8,0.9,87.1,0.5,1.8,2.4,1.2,1.3,0.9,0.3,1.1,12.2,0.0,0.0,-0.9,104.0,25.0,31.0,19.0,12.0,14.6,3.7,1.3,2.7,46.4,0.5,1.4,38.6,0.6,0.7,90.5,0.8,1.1,1.9,1.3,0.9,0.5,0.3,1.6,9.0,0.0,0.0,0.5,97.0,24.0,34.0,18.0,16.0,17.9,4.4,1.5,3.6,41.5,0.5,1.2,38.1,0.9,1.4,65.2,0.9,1.8,2.7,1.6,0.9,0.7,0.3,1.9,11.1,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,NALYSSA SMITH,,IND,,IND,226668.0,IND,,,,,,,,,,,,,43.0,24.0,40.0,20.0,20.0,24.7,10.6,4.2,8.8,48.0,0.4,1.2,29.2,1.8,3.2,56.7,1.8,5.3,7.1,1.0,1.3,0.8,1.0,2.7,22.5,7.0,0.0,-4.8,23.0,23.0,31.0,11.0,20.0,28.5,15.5,6.1,12.7,47.7,0.6,2.2,28.4,2.7,4.0,67.7,2.1,7.1,9.2,1.4,2.7,0.3,0.3,3.0,28.0,13.0,0.0,-1.2,25.0,22.0,32.0,5.0,27.0,30.7,13.5,5.0,11.9,41.9,1.2,3.0,38.1,2.4,3.8,61.8,2.2,5.7,7.9,1.4,2.4,0.5,0.3,2.9,25.4,8.0,0.0,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,RHYNE HOWARD,,ATL,,ATL,226668.0,ATL,,,,,,,,,,,,,15.0,24.0,30.0,14.0,16.0,33.9,17.3,5.6,15.0,37.1,2.7,8.1,32.9,3.5,4.5,78.4,0.8,3.5,4.4,3.1,1.7,1.8,0.6,2.1,32.3,2.0,0.0,1.0,13.0,24.0,39.0,18.0,21.0,32.9,17.5,5.8,15.1,38.5,2.5,7.2,35.2,3.3,4.2,78.8,0.7,4.3,4.9,3.5,1.9,1.3,0.6,2.8,32.4,2.0,0.0,-0.3,12.0,23.0,34.0,13.0,21.0,31.3,16.2,5.4,15.0,36.1,2.5,7.3,34.3,2.9,3.7,79.2,0.8,3.7,4.5,2.8,1.6,1.6,0.8,2.6,30.8,0.0,0.0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SHAKIRA AUSTIN,,WAS,,WAS,226668.0,WAS,,,,,,,,,,,,,36.0,24.0,12.0,2.0,10.0,19.8,11.8,4.3,10.1,43.0,0.1,0.3,25.0,3.0,4.5,66.7,1.8,5.1,6.8,0.9,2.4,1.3,0.9,2.5,23.9,1.0,0.0,0.1,45.0,23.0,19.0,12.0,7.0,23.2,10.0,4.1,8.1,50.0,0.0,0.0,0.0,1.9,3.1,61.0,1.5,5.5,7.0,0.9,1.8,0.8,0.9,2.3,21.4,5.0,0.0,3.5,59.0,22.0,36.0,22.0,14.0,21.6,8.7,3.4,6.2,54.7,0.0,0.0,0.0,1.9,3.0,62.4,1.8,4.7,6.4,0.9,1.5,0.8,0.8,2.3,19.2,4.0,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GRACE BERGER,,IND,224026.0,IND,,,,,,,,,,,,,,,123.0,25.0,11.0,4.0,7.0,9.3,2.8,0.9,2.3,40.0,0.2,0.5,40.0,0.8,1.3,64.3,0.4,1.0,1.4,0.6,0.9,0.5,0.0,1.1,5.9,0.0,0.0,-1.3,98.0,25.0,36.0,12.0,24.0,14.6,4.2,1.6,3.5,44.9,0.4,0.9,47.1,0.6,0.7,84.0,0.2,1.4,1.6,1.9,1.0,0.5,0.2,1.1,9.3,0.0,0.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,HALEY JONES,,ATL,224026.0,ATL,,,,,,,,,,,,,,,104.0,23.0,40.0,15.0,25.0,17.8,3.9,1.5,3.7,39.7,0.2,0.7,21.4,0.8,1.2,70.2,0.3,2.0,2.2,2.1,1.7,0.4,0.3,2.0,9.6,0.0,0.0,-2.4,107.0,23.0,40.0,19.0,21.0,14.6,3.7,1.4,4.2,33.7,0.2,0.7,21.4,0.8,1.0,75.6,0.4,2.0,2.4,2.3,1.4,0.4,0.3,1.7,9.9,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,LAETICIA AMIHERE,,ATL,224026.0,ATL,,,,,,,,,,,,,,,142.0,23.0,17.0,5.0,12.0,4.9,1.1,0.4,1.5,26.9,0.0,0.0,0.0,0.3,1.0,29.4,0.7,0.9,1.6,0.2,0.5,0.1,0.2,0.4,3.5,0.0,0.0,-1.1,116.0,22.0,21.0,9.0,12.0,7.0,2.7,0.8,2.0,40.5,0.0,0.0,0.0,1.0,2.0,53.7,0.2,0.7,1.0,0.2,0.5,0.2,0.4,1.0,5.1,0.0,0.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,LOU LOPEZ-SENECHAL,,DAL,224026.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,KAYLA THORNTON,222000.0,NY,,NY,,DAL,305956.0,DAL,262900.0,DAL,262900.0,DAL,41248.0,DAL,,,,,83.0,32.0,40.0,32.0,8.0,20.2,5.5,1.9,5.1,37.9,1.1,3.2,35.7,0.6,0.7,84.6,1.0,1.6,2.6,0.7,0.6,0.7,0.2,1.4,11.8,0.0,0.0,2.7,96.0,31.0,40.0,32.0,8.0,17.3,4.5,1.6,3.8,43.3,0.6,2.0,31.3,0.6,0.8,76.7,1.2,2.3,3.5,0.7,0.5,0.7,0.3,1.7,11.2,0.0,0.0,2.8,66.0,30.0,36.0,18.0,18.0,29.2,8.0,2.7,5.8,46.9,0.7,2.1,32.5,1.9,2.3,82.9,1.8,4.1,5.9,1.8,1.2,1.1,0.6,2.7,19.6,0.0,0.0,-0.3,67.0,29.0,31.0,14.0,17.0,27.6,7.5,2.7,6.4,42.1,0.7,2.0,34.9,1.5,1.7,84.9,2.1,3.5,5.6,1.5,1.0,0.8,0.2,2.0,17.4,2.0,0.0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,26.0,34.0,15.0,19.0,28.6,9.2,3.4,7.5,44.7,1.3,3.6,35.5,1.3,1.5,86.0,1.3,2.7,4.0,1.8,1.1,1.0,0.4,2.7,19.1,0.0,0.0,1.7,73.0,25.0,34.0,16.0,18.0,17.2,6.8,2.1,5.2,41.2,0.5,1.8,27.9,2.0,2.5,80.0,1.2,2.1,3.3,0.9,0.7,0.6,0.2,2.2,13.2,0.0,0.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,AARI MCDONALD,,LA,,ATL,,ATL,220067.0,ATL,,,,,,,,,,,55.0,26.0,26.0,6.0,20.0,21.8,8.7,3.0,7.3,40.3,1.1,3.5,31.9,1.7,2.0,84.3,0.5,1.5,2.0,3.7,1.8,0.9,0.2,2.0,17.7,1.0,0.0,-3.0,63.0,25.0,24.0,8.0,16.0,23.5,7.9,2.8,6.8,40.2,1.0,3.3,32.1,1.3,1.8,76.2,0.3,1.8,2.0,3.0,1.6,0.6,0.0,1.6,15.2,0.0,0.0,-2.3,42.0,24.0,36.0,14.0,22.0,24.3,11.1,3.6,8.9,41.1,1.3,3.9,33.8,2.4,2.8,87.1,0.4,1.8,2.3,2.6,2.1,1.5,0.0,2.2,20.2,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,AWAK KUIER,,DAL,,DAL,,DAL,220067.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,22.0,37.0,22.0,15.0,10.8,2.6,1.0,2.5,39.6,0.1,0.6,8.7,0.6,0.7,77.8,0.6,1.9,2.5,0.5,0.6,0.2,0.6,0.8,7.4,0.0,0.0,-0.7,129.0,21.0,33.0,17.0,16.0,12.6,2.8,1.0,2.6,39.5,0.1,0.6,19.0,0.6,0.9,61.3,0.7,1.8,2.5,0.9,0.6,0.4,0.9,0.8,8.8,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ALYSHA CLARK,,LV,220000.0,LV,,WAS,366000.0,WAS,252400.0,SEA,252400.0,SEA,252400.0,SEA,,,,,78.0,37.0,40.0,27.0,13.0,24.3,6.0,2.1,4.8,44.3,1.2,3.2,37.3,0.6,0.7,82.1,0.5,3.1,3.6,1.8,1.4,0.8,0.3,2.7,14.8,0.0,0.0,4.5,71.0,36.0,39.0,33.0,6.0,22.5,6.7,2.3,5.3,44.4,1.3,3.4,38.6,0.7,0.8,81.8,0.5,2.9,3.4,1.1,0.7,0.6,0.2,2.2,14.0,0.0,0.0,5.6,65.0,35.0,29.0,18.0,11.0,26.4,8.0,3.1,6.8,46.4,1.0,3.4,30.3,0.7,0.8,91.3,0.8,3.7,4.5,2.0,1.3,1.0,0.3,1.9,18.1,0.0,0.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,33.0,22.0,18.0,4.0,28.8,10.0,3.7,6.7,55.8,1.6,3.0,52.2,0.9,1.1,80.0,0.9,3.4,4.2,2.7,0.9,1.5,0.5,1.7,22.5,0.0,0.0,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,31.0,31.0,24.0,7.0,26.2,7.4,2.7,5.6,48.0,0.9,2.4,39.2,1.1,1.3,84.6,1.0,2.5,3.5,1.9,1.2,1.0,0.1,2.3,15.9,0.0,0.0,6.8,55.0,30.0,33.0,14.0,19.0,28.3,8.2,3.2,6.1,52.5,0.7,2.0,32.8,1.2,1.5,74.5,1.0,3.2,4.2,1.6,1.0,0.7,0.1,2.4,16.4,0.0,0.0,0.2,48.0,29.0,33.0,16.0,17.0,27.6,9.0,3.2,6.6,48.4,1.1,2.8,38.7,1.5,1.8,84.7,1.2,2.5,3.7,1.9,1.3,0.7,0.1,2.6,17.2,0.0,0.0,2.3
